"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Food insecurity by selected demographic characteristics","13100835",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310083501",1;2;15,"CURRENT - a cube available to the public and that is current","Annual","2018-01-01","2024-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Demographic characteristics",,""
"3","Household food security status",,""
"4","Statistics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"1","Atlantic provinces","[1]","2","1","",,
"1","Newfoundland and Labrador","[10]","3","2","",,
"1","Prince Edward Island","[11]","4","2","",,
"1","Nova Scotia","[12]","5","2","",,
"1","New Brunswick","[13]","6","2","",,
"1","Quebec","[24]","7","1","",,
"1","Ontario","[35]","8","1","",,
"1","Prairie provinces","[4]","9","1","",,
"1","Manitoba","[46]","10","9","",,
"1","Saskatchewan","[47]","11","9","",,
"1","Alberta","[48]","12","9","",,
"1","British Columbia","[59]","13","1","",,
"1","Territories","[6]","14","1","",,
"1","Yukon","[60]","15","14","",,
"1","Northwest Territories","[61]","16","14","",,
"1","Nunavut","[62]","17","14","",,
"2","All persons","","1","","",,
"2","Persons under 18 years","","2","1","",,
"2","Persons 18 to 64 years","","3","1","",,
"2","Persons 18 to 24 years","","4","3","",,
"2","Persons 25 to 34 years","","5","3","",,
"2","Persons 35 to 44 years","","6","3","",,
"2","Persons 45 to 54 years","","7","3","",,
"2","Persons 55 to 64 years","","8","3","",,
"2","Persons 65 years and over","","9","1","",,
"2","Men+","","10","","",12;13,
"2","Men+, under 18 years","","11","10","",12;13,
"2","Men+, 18 to 64 years","","12","10","",12;13,
"2","Men+, 65 years and over","","13","10","",12;13,
"2","Women+","","14","","",12;13,
"2","Women+, under 18 years","","15","14","",12;13,
"2","Women+, 18 to 64 years","","16","14","",12;13,
"2","Women+, 65 years and over","","17","14","",12;13,
"2","Visible minority population","","18","","",4;14,
"2","South Asian","","19","18","",5;14,
"2","Chinese","","20","18","",14,
"2","Black","","21","18","",14,
"2","Filipino","","22","18","",14,
"2","Arab","","23","18","",14,
"2","Latin American","","24","18","",14,
"2","Southeast Asian","","25","18","",6;14,
"2","Other visible minority","","26","18","",7;14,
"2","Not a visible minority","","27","","",14,
"2","Indigenous population","","28","","",8;14,
"2","Non-Indigenous population","","29","","",14,
"2","Not a visible minority nor Indigenous","","30","","",14,
"2","All persons aged 15 years and over","","31","","",11,
"2","Indigenous population aged 15 years and over","","32","31","",8;11,
"2","First Nations aged 15 years and over","","33","32","",11,
"2","Métis aged 15 years and over","","34","32","",11,
"2","Inuit aged 15 years and over","","40","32","",11,
"2","Non-Indigenous population aged 15 years and over","","35","31","",11,
"2","Immigrants aged 15 years and over","","36","31","",9;11,
"2","Recent immigrants (10 years or less) aged 15 years and over","","37","36","",9;11,
"2","Very recent immigrants (5 years or less) aged 15 years and over","","38","36","",9;11,
"2","Persons aged 15 years and over born in Canada","","39","31","",11,
"3","Food secure","","1","","",,
"3","Food insecure","","6","","",10,
"3","Food insecure, marginal","","2","6","",,
"3","Food insecure, moderate or severe","","3","6","",,
"3","Food insecure, moderate","","4","3","",,
"3","Food insecure, severe","","5","3","",,
"4","Number of persons","","1","","",,
"4","Percentage of persons","","2","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5200","Canadian Income Survey"

"Subject Code","Subject Name"
"13","Health"

"Note ID",Note
1,"Source: Centre for Housing and Income Statistics, Statistics Canada."
2,"Data quality indicators are based on the coefficient of variation (CV) and number of observations. Quality indicators indicate the following: A - Excellent (CV between 0% and 2%); B - Very good (CV between 2% and 4%); C - Good (CV between 4% and 8%); D - Acceptable (CV between 8% and 16%); E - Use with caution (CV between 16% and 33.3%)."
4,"According to the Employment Equity Act, visible minorities are "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour.""
5,"For example, East Indian, Pakistani, Sri Lankan."
6,"For example, Vietnamese, Cambodian, Laotian, Thai."
7,"Includes visible minority groups not included elsewhere. These include West Asian, Korean, Japanese, persons with a write-in response such as Guyanese, West Indian, Tibetan, Polynesian, Pacific Islander, and persons who gave more than one visible minority group by checking two or more mark-in responses, for example, Black and South Asian."
8,"Includes persons who reported having an Indigenous identity, that is, First Nations (North American Indian), Métis or Inuk (Inuit), or those who reported more than one identity. Excluded from the survey’s coverage are persons living on reserves and other Indigenous settlements in the provinces. Data on persons reporting multiple Indigenous identities are included in the Indigenous total but are not shown separately because of small sample sizes."
